작성월	지역코드	지역명	상권코드	상권명	총건물수	1층생활시설수	2층생활시설수	문화집회시설수	종교시설수	판매시설수	의료시설수	아동노인복지시설수	수련시설수	운동시설수	숙박시설수	여가및오락시설수	총가스사용량	상업용가스사용량	총전기사용량
202309	11110	종로구	9172	동대문역_2	6.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	182402	70366	1091.779
202310	11110	종로구	9172	동대문역_2	299.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	236735	199512	1015.481
202311	11110	종로구	9172	동대문역_2	299.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	500935	333108	988.394
202312	11110	종로구	9172	동대문역_2	299.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	1052959	671385	1275.924
202401	11110	종로구	9172	동대문역_2	299.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	1258857	768738	1464.417
202402	11110	종로구	9172	동대문역_2	299.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	1028516	636018	1294.136
202403	11110	종로구	9172	동대문역_2	299.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	936923	614892	1106.208
202404	11110	종로구	9172	동대문역_2	299.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	450635	331261	954.446
202406	11110	종로구	9172	동대문역_2	299.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	560965	397001	1143.581
202407	11110	종로구	9172	동대문역_2	299.0	87.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	862018	581120	1460.142
202408	11110	종로구	9172	동대문역_2	299.0	88.0	99.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	13.0	4.0	893411	615186	1748.715
202409	11110	종로구	9172	동대문역_2	5.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99985	61478	170.09
202410	11110	종로구	9172	동대문역_2	5.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107108	75427	117.082
202210	11110	종로구	9148	서대문역_1	32.0	11.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12501	4585	93.668
202210	11110	종로구	9148	서대문역_1	32.0	11.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12501	4585	93.668
202212	11110	종로구	9148	서대문역_1	32.0	12.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12944	4406	144.195
202301	11110	종로구	9148	서대문역_1	32.0	12.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	13314	4863	145.774
202301	11110	종로구	9148	서대문역_1	32.0	12.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12327	4566	145.587
